Lfd_Nr	Region_acronyms	Region_names
1	XAM	Rest of Americas
2	XEU	Rest of Europe
3	XAF	Rest of Africa
4	XAS	Rest of Asia-Pacific
5	AFG	Afghanistan
6	AGO	Angola
7	ALB	Albania
8	ARE	United Arab Emirates
9	ARG	Argentina
10	ARM	Armenia
11	AUS	Australia
12	AUT	Austria
13	AZE	Azerbaijan
14	BDI	Burundi
15	BEL	Belgium
16	BEN	Benin
17	BFA	Burkina Faso
18	BGD	Bangladesh
19	BGR	Bulgaria
20	BHR	Bahrain
21	BHS	Bahamas
22	BIH	Bosnia and Herzegovina
23	BLR	Belarus
24	BLZ	Belize
25	BOL	Bolivia
26	BRA	Brazil
27	BRN	Brunei Darussalam
28	BTN	Bhutan
29	BWA	Botswana
30	CAF	Central African Republic
31	CAN	Canada
32	CHE	Switzerland
33	CHL	Chile
34	CHN	China
35	CIV	Cote d'Ivoire
36	CMR	Cameroon
37	COD	DR Congo
38	COG	Rep Congo
39	COL	Colombia
40	CRI	Costa Rica
41	CUB	Cuba
42	CYP	Cyprus
43	CZE	CSSR/Czech Republic (1990/1991)
44	DEU	Germany
45	DJI	Djibouti
46	DYE	DR Yemen (Aden)
47	DNK	Denmark
48	DOM	Dominican Republic
49	DZA	Algeria
50	ECU	Ecuador
51	EGY	Egypt
52	ERI	Eritrea
53	ESP	Spain
54	EST	Estonia
55	ETH	Ethiopia/DR Ethiopia (1992/1993)
56	FIN	Finland
57	FRA	France
58	GAB	Gabon
59	GBR	United Kingdom
60	GEO	Georgia
61	GHA	Ghana
62	GIN	Guinea
63	GMB	Gambia
64	GNQ	Equatorial Guinea
65	GRC	Greece
66	GTM	Guatemala
67	HND	Honduras
68	HKG	Hong Kong
69	HRV	Croatia
70	HTI	Haiti
71	HUN	Hungary
72	IDN	Indonesia
73	IND	India
74	IRL	Ireland
75	IRN	Iran
76	IRQ	Iraq
77	ISL	Iceland
78	ISR	Israel
79	ITA	Italy
80	JAM	Jamaica
81	JOR	Jordan
82	JPN	Japan
83	KAZ	Kazakhstan
84	KEN	Kenya
85	KGZ	Kyrgyzstan
86	KHM	Cambodia
87	KOR	South Korea
88	KWT	Kuwait
89	LAO	Laos
90	LBN	Lebanon
91	LBR	Liberia
92	LBY	Libya
93	LKA	Sri Lanka
94	LTU	Lithuania
95	LUX	Luxembourg
96	LVA	Latvia
97	MAR	Morocco
98	MDA	Moldova
99	MDG	Madagascar
100	MEX	Mexico
101	MKD	Macedonia
102	MLI	Mali
103	MLT	Malta
104	MMR	Myanmar
105	MNG	Mongolia
106	MOZ	Mozambique
107	MRT	Mauritania
108	MWI	Malawi
109	MYS	Malaysia
110	NAM	Namibia
111	NER	Niger
112	NGA	Nigeria
113	NIC	Nicaragua
114	NLD	Netherlands
115	NOR	Norway
116	NPL	Nepal
117	NZL	New Zealand
118	OMN	Oman
119	PAK	Pakistan
120	PSE	Palestine
121	PAN	Panama
122	PER	Peru
123	PHL	Philippines
124	PNG	Papua New Guinea
125	POL	Poland
126	PRK	North Korea
127	PRT	Portugal
128	PRY	Paraguay
129	QAT	Qatar
130	ROU	Romania
131	RUS	USSR/Russian Federation (1990/1991)
132	RWA	Rwanda
133	SAU	Saudi Arabia
134	SDS	South Sudan
135	SEN	Senegal
136	SGP	Singapore
137	SLE	Sierra Leone
138	SLV	El Salvador
139	SOM	Somalia
140	SRB	Yugoslavia/Serbia (1991/1992)
141	SDN	Sudan/North Sudan (2010/2011)
142	SVK	Slovakia
143	SVN	Slovenia
144	SWE	Sweden
145	SYR	Syria
146	TCD	Chad
147	TGO	Togo
148	THA	Thailand
149	TJK	Tajikistan
150	TKM	Turkmenistan
151	TUN	Tunisia
152	TUR	Turkey
153	TZA	Tanzania
154	UGA	Uganda
155	UKR	Ukraine
156	URY	Uruguay
157	USA	United States of America
158	UZB	Uzbekistan
159	VEN	Venezuela
160	VNM	Viet Nam
161	YEM	Yemen Arab Republic/Yemen (1990/1991)
162	ZAF	South Africa
163	ZMB	Zambia
164	ZWE	Zimbabwe
