Lfd_Nr,Sat_head_indicator,Sat_indicator,Sat_unit
1,Material,Rice,tonnes
2,Material,Wheat,tonnes
3,Material,Cereals n.e.c.,tonnes
4,Material,Other crops n.e.c,tonnes
5,Material,Spice - beverage - pharmaceutical crops,tonnes
6,Material,Tobacco,tonnes
7,Material,Roots and tubers,tonnes
8,Material,Sugar crops,tonnes
9,Material,Pulses,tonnes
10,Material,Nuts,tonnes
11,Material,Oil bearing crops,tonnes
12,Material,Vegetables,tonnes
13,Material,Fruits,tonnes
14,Material,Fibres,tonnes
15,Material,Straw,tonnes
16,Material,Other crop residues (sugar and fodder beet leaves etc),tonnes
17,Material,Fodder crops (including biomass harvest from grassland),tonnes
18,Material,Grazed biomass,tonnes
19,Material,Timber (Industrial roundwood),tonnes
20,Material,Wood fuel and other extraction,tonnes
21,Material,Wild fish catch,tonnes
22,Material,All other aquatic animals,tonnes
23,Material,Aquatic plants,tonnes
24,Material,Iron ores,tonnes
25,Material,Silver ores,tonnes
26,Material,Bauxite and other aluminium ores - gross ore,tonnes
27,Material,Gold ores,tonnes
28,Material,Chromium ores,tonnes
29,Material,Copper ores,tonnes
30,Material,Manganese ores,tonnes
31,Material,Other metal ores,tonnes
32,Material,Nickel ores,tonnes
33,Material,Lead ores,tonnes
34,Material,Platinum group metal ores,tonnes
35,Material,Tin ores,tonnes
36,Material,Titanium ores,tonnes
37,Material,Uranium ores,tonnes
38,Material,Zinc ores,tonnes
39,Material,Ornamental or building stone,tonnes
40,Material,Chalk,tonnes
41,Material,Dolomite,tonnes
42,Material,Limestone,tonnes
43,Material,Fertilizer minerals n.e.c.,tonnes
44,Material,Chemical minerals n.e.c.,tonnes
45,Material,Industrial minerals n.e.c,tonnes
46,Material,Salt,tonnes
47,Material,Gypsum,tonnes
48,Material,Structural clays,tonnes
49,Material,Specialty clays,tonnes
50,Material,Industrial sand and gravel,tonnes
51,Material,Sand gravel and crushed rock for construction,tonnes
52,Material,Other non-metallic minerals n.e.c.,tonnes
53,Material,Lignite (brown coal),tonnes
54,Material,Other Sub-Bituminous Coal,tonnes
55,Material,Anthracite,tonnes
56,Material,Coking Coal,tonnes
57,Material,Other Bituminous Coal,tonnes
58,Material,Peat,tonnes
59,Material,Crude oil,tonnes
60,Material,Natural gas,tonnes
61,Material,Natural gas liquids,tonnes
